D59	-31.80848785	142.4141657
D6	-33.6663629	141.4486458
D6.1	-34.23140408	142.4216531
D61	-32.72158778	142.5650997
D62	-35.47495744	148.9984957
D64	-30.12755232	151.4762715
D65	-32.09839624	148.58653
D66	-28.21952692	148.197097
D7	-33.87318608	143.9409128
D8	-33.75315605	142.7217453
D9	-34.41868713	144.4000271
E1	-32.51979857	151.211697
E10	-29.68672297	153.1878436
E11	-29.75744124	151.0501143
E12	-29.25126135	153.0751537
E14	-28.50105723	152.3203455
E15	-28.53326435	152.866814
E15.1	-28.73261528	153.2361098
E16	-29.30802878	152.2282249
E16.1	-28.73775281	152.2844378
E16.2	-28.88761184	152.5079219
E17	-28.09452769	152.981256
E18	-28.55438964	153.4981194
E19	-27.77289008	153.3991044
E2	-32.48684113	151.9969464
E20	-26.97314864	152.5741404
E21	-27.47215729	153.4690786
E22	-27.0690521	152.3593426
E23	-27.70854514	152.5468407
E24	-27.22108106	152.9281923
E25	-26.77542365	152.6684343
E26	-27.16768654	153.4003411
E27	-26.05034841	150.8351369
E28	-26.45133412	151.903029
E29	-26.0056033	152.6675373
E3	-31.64695142	152.134016
E30	-25.33722004	153.0328201
E31	-25.58902937	149.5770984
E32	-24.90480069	151.790315
E33	-24.80733136	152.0388992
E35	-25.59957324	148.6437252
E36	-24.26688582	151.6816877
E37	-24.90318659	147.1213069
E38	-23.33016135	149.1337003
E39	-24.80852364	148.5733526
E4	-31.06953469	152.9340119
E40	-24.18606975	150.151432
E41	-24.38985217	150.9990002
E42	-23.64369074	150.8852368
E43	-23.156858	146.6329386
E44	-23.79398017	147.8977311
E45	-22.86863759	148.7252279
E46	-22.71568351	150.0600456
E47	-22.79716328	147.6085897
E48	-21.98238387	148.9252572
E49	-22.2796681	149.7961573
E5	-30.81513541	152.8904795
E50	-21.812523	146.1838164
E51	-22.31402258	147.4752732
E52	-20.92842179	147.2562885
E53	-22.080577	148.198529
E55	-20.76682112	146.0479805
E56	-20.50810089	147.9886074
E57	-21.29857522	148.7037816
E58	-20.40181799	148.4629209
E59	-20.29547471	148.9347367
E6	-30.90641545	152.4169227
E60	-19.70754326	145.4359956
E61	-19.56356855	147.1105586
E62	-19.82716687	147.6745532
E63	-22.8938418	149.4836174
E64	-23.65544718	149.0109623
E65	-24.46598501	149.3824338
E66	-27.27760979	153.0252578
E67	-31.98263684	152.4155795
E68	-29.5277933	151.7814606
E7	-30.08764301	152.4456876
E70	-30.42236063	151.9407368
E72	-29.0479589	152.8588681
E73	-28.85403056	152.9873744
E75	-28.92150486	153.4217926
E76	-28.12654313	152.9146985
E77	-28.08259432	153.2407725
E78	-28.35155366	153.303607
E79	-27.88614455	153.327907
E8	-30.05901234	152.1110868
E80	-29.22442551	152.5517802
E81	-27.21168959	151.6777654
E82	-23.19138657	150.9668473
E83	-23.06916223	150.7806859
E84	-23.53207334	150.1000323
E85	-30.37844644	152.6714792
E86	-27.50740343	153.0519336
E87	-27.20096995	152.5522455
E88	-27.35303324	152.6951351
E89	-25.30333447	150.6355846
E9	-29.46378932	153.2157736
E90	-26.76927823	152.885895
E91	-29.11350479	151.8740972
E92	-29.48567462	152.6828852
E95	-32.51345793	151.699335
G1	-24.33080067	137.4244147
G10	-21.76218641	138.4285574
G12	-21.39381083	137.4154269
G12.1	-20.65668866	138.2747458
G13	-20.88651298	139.8900199
G14	-19.32705207	137.4623768
G15	-19.53889197	139.0648189
G16	-19.94687087	140.6895015
G16.1	-20.91311258	141.8532552
G17	-19.80268514	141.9628637
